鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,8.7,商,,,1090323,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,93.49,1,1,1,有,有,18880000,201947.0,,0.0,0,,RPRRMLNLMHPFFCA38CA
中山區,房地(土地+建物),臺北市中山區新生北路二段28巷1~30號,18.35,其他,,,1090217,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780517.0,162.64,3,2,2,有,有,36000000,221348.0,,0.0,0,含增建或未登記建物。;,RPQPMLRKMHPFFCA38CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.48,商,,,1090321,土地1建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008.0,104.26,2,2,1,有,有,17380000,179246.0,坡道機械,14.83,1350000,,RPWOMLRKMHPFFBA78CA
中正區,房地(土地+建物)+車位,臺北市中正區水源路61~90號,17.2,商,,,1090223,土地2建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990607.0,220.45,3,2,3,有,有,41800000,189612.0,坡道平面,43.0,0,,RPTOMLMLMHPFFAA97CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段121~150號,40.5,其他,,,1090314,土地2建物1車位2,十五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214.0,158.25,3,2,2,有,有,26800000,169352.0,坡道機械,28.9,0,含增建或未登記建物。;,RPUOMLRKMHPFFAA48CA
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段95巷31~60號,33.02,住,,,1090304,土地1建物1車位1,十七層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,961031.0,225.24,4,2,2,有,有,38180000,169508.0,坡道平面,39.36,0,,RPQNMLKLMHPFFAA37CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段387巷1~30號,42.47,住,,,1090226,土地1建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001213.0,317.11,2,2,2,有,有,78000000,245971.0,坡道平面,0.0,0,含增建或未登記建物。;,RPTNMLMLMHPFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,38.23,住,,,1081118,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418.0,240.35,4,2,3,有,有,41050000,170793.0,坡道平面,38.92,0,,RPVOMLRLMHPFFCA88CA
大安區,房地(土地+建物)+車位,臺北市大安區仁愛路四段301~330號,48.92,其他,,,1090410,土地2建物1車位2,二十一層，二十二層,22,住宅大樓(11層含以上有電梯),住家用,見使用執照,761228.0,479.98,6,4,5,有,有,120000000,250010.0,坡道平面,0.0,0,,RPPNMLKLMHPFFFA77CA
大安區,房地(土地+建物)+車位,臺北市大安區敦化南路二段121~150號,15.86,其他,,,1090319,土地2建物1車位1,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740417.0,150.95,4,1,2,有,有,30000000,198741.0,一樓平面,0.0,0,,RPXNMLMLMHPFFFA78CA
