鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,車位,臺北市內湖區康寧路三段189巷31~60號,4.06,住,,,1090324,土地0建物0車位1,地下二層,六層,其他,見使用執照,鋼筋混凝土造,0801125,37.71,0,0,0,有,有,1350000,,升降平面,0.0,1350000,,RPSQMLTKNHPFFCA98CA
南港區,房地(土地+建物),臺北市南港區八德路四段871~900號,4.84,商,,,1090307,土地1建物1車位0,十三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841219,45.9,1,1,1,有,有,7280000,158606,,0.0,0,含增建或未登記建物。;內含獨立產權公設，未包含在棟數內。,RPSPMLNKMHPFFDA28CA
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄1~30號,26.15,住,,,1090305,土地4建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060907,190.7,3,2,2,有,有,32200000,200615,坡道平面,41.16,2200000,,RPPNMLOKMHPFFDA87CA
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄1~30號,27.71,住,,,1090209,土地4建物1車位2,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060907,231.85999999999999,3,2,2,有,有,37000000,212652,坡道平面,82.32,5200000,,RPQNMLOKMHPFFDA97CA
信義區,房地(土地+建物),臺北市信義區大道路91~120號,32.0,住,,,1090305,土地1建物1車位0,一層，平台，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.2,1,1,2,有,無,34600000,355967,,0.0,0,,RPVNMLOKMHPFFDA48CA
信義區,車位,臺北市信義區忠孝東路五段372巷27弄61~90號,4.51,住,,,1090320,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,,21.34,0,0,0,有,無,1000000,,坡道平面,21.34,1000000,親友、員工或其他特殊關係間之交易。;,RPOOMLOKMHPFFDA87CA
信義區,房地(土地+建物),臺北市信義區光復南路473巷1~30號,16.05,住,,,1090315,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970328,76.91,1,2,2,有,有,27680000,359901,,0.0,0,含增建或未登記建物。;,RPSOMLOKMHPFFDA28CA
信義區,房地(土地+建物),臺北市信義區松山路331~360號,15.88,商,,,1090201,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640613,46.6,3,1,1,有,無,7000000,150215,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLOKMHPFFDA97CA
信義區,房地(土地+建物)+車位,臺北市信義區光復南路421巷1~30號,17.58,住,,,1090315,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070814,110.00999999999999,2,2,2,有,有,34000000,309063,升降機械,0.0,0,,RPROMLPKMHPFFDA28CA
松山區,房地(土地+建物),臺北市松山區南京東路五段211~240號,5.23,其他,,,1090315,土地1建物1車位0,十二層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980331,65.49000000000001,1,1,1,有,有,15850000,242022,,0.0,0,,RPQRMLQKMHPFFDA58CA
松山區,房地(土地+建物),臺北市松山區復興北路181~210號,21.32,商,,,1090116,土地1建物1車位0,八層,十六層,辦公商業大樓,住家用,鋼筋混凝土造,0731214,163.36,0,0,0,無,有,39000000,238737,,0.0,0,,RPTRMLQKMHPFFDA88CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路255巷31~60號,25.05,住,,,1080329,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090212,143.57,0,0,0,無,有,31610000,268119,升降平面,33.88,2200000,,RPXRMLQKMHPFFDA66CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路255巷31~60號,22.9,住,,,1080115,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090212,140.75,3,2,1,有,有,24700000,211472,升降平面,33.88,2100000,,RPOSMLQKMHPFFDA48CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路255巷31~60號,24.34,住,,,1070621,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090212,133.69,3,2,1,有,有,24030000,219217,升降平面,33.88,2150000,,RPPSMLQKMHPFFDA58CA
信義區,房地(土地+建物),臺北市信義區信義路六段26巷1~30號,31.47,住,,,1081216,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691203,113.03,3,2,2,有,無,17600000,155711,,0.0,0,含增建或未登記建物。;,RPXNMLPKMHPFFDA78CA
信義區,房地(土地+建物),臺北市信義區永吉路180巷1~30號,8.4,住,,,1090309,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0520601,25.08,6,2,2,有,無,3100000,123604,,0.0,0,,RPQNMLLLMHPFFDA77CA
信義區,建物,臺北市信義區忠孝東路五段423巷1~30號,0.0,,,,1090302,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690318,74.52,2,2,2,有,無,4500000,60386,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLLLMHPFFDA87CA
信義區,土地,雅祥段四小段631~660地號,100.52,其他,,,1090323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5973050,59422,,0.0,0,包含公共設施保留地之交易。;,RPRPMLSLMHPFFDA78CA
信義區,房地(土地+建物),臺北市信義區虎林街76巷1~30號,25.54,住,,,1090221,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,103.14999999999999,3,2,1,有,有,16500000,159961,,0.0,0,,RPWOMLLKNHPFFDA48CA
松山區,房地(土地+建物),臺北市松山區南京東路五段61~90號,10.5,商,,,1090316,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0731004,102.97,3,2,2,有,無,20200000,196174,,0.0,0,,RPPNMLMKNHPFFDA77CA
士林區,房地(土地+建物),臺北市士林區社正路45巷4弄1~30號,25.11,商,,,1090317,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050825,87.50999999999999,2,1,1,有,無,14500000,165695,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLNKMHPFFEA48CA
北投區,房地(土地+建物),臺北市北投區東華街二段300巷1~30號,54.5,住,,,1090221,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0580820,74.42,2,2,2,有,無,13500000,181403,,0.0,0,含增建或未登記建物。;,RPQNMLOKMHPFFEA08CA
士林區,房地(土地+建物),臺北市士林區社子街84巷1~30號,25.0,住,,,1090301,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660303,77.3,2,2,1,有,無,7500000,97025,,0.0,0,含增建或未登記建物。;,RPUNMLOKMHPFFEA48CA
北投區,房地(土地+建物)+車位,臺北市北投區裕民六路121~150號,18.87,商,,,1090314,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,245.32,3,2,2,有,有,48700000,198516,坡道機械,55.22,0,,RPROMLOKMHPFFEA28CA
北投區,房地(土地+建物),臺北市北投區溫泉路銀光巷1~30號,21.71,其他,,,1090331,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740517,66.77000000000001,3,2,2,有,無,5700000,85368,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLOKMHPFFEA88CA
北投區,房地(土地+建物)+車位,臺北市北投區幽雅路1~30號,11.86,其他,,,1090309,土地1建物1車位1,十層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980205,95.25,1,1,1,有,有,9500000,99738,坡道機械,23.23,0,含增建或未登記建物。;,RPOPMLOKMHPFFEA08CA
