鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南屯區,房地(土地+建物),臺中市南屯區寶山二街91~120號,68.86,住,,,1090308,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0920623,126.86,4,2,2,有,無,11820000,93174,,0.0,0,"含增建或未登記建物。;一樓前後,陽台,廁所外推",RPXRMLPKMHPFFCB56CA
南屯區,房地(土地+建物),臺中市南屯區黎明東街421~450號,5.5,住,,,1090320,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840525,48.739999999999995,1,1,1,有,有,2230000,45753,,0.0,0,含增建或未登記建物。,RPSNMLPKMHPFFCB28CA
南屯區,房地(土地+建物)+車位,臺中市南屯區建功路91~120號,26.01,住,,,1090307,土地2建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870922,182.64,3,2,2,有,有,7120000,38984,坡道機械,28.34,0,,RPWNMLPKMHPFFCB68CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,16.28,住,,,1090106,土地2建物3車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801003,149.33,4,2,2,有,有,7800000,52233,坡道機械,0.0,0,,RPWNMLQKMHPFFCB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區安和路181~210號,43.3,住,,,1090318,土地2建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041118,291.21,3,2,2,有,有,24700000,98493,坡道平面,68.86,2800000,,RPXNMLQKMHPFFCB88CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十七街91~120號,13.96,住,,,1090304,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940215,145.34,3,2,2,有,無,12800000,88069,坡道平面,21.35,0,,RPSPMLQKMHPFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區長安路二段131巷61~90號,17.86,住,,,1090316,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030704,137.98000000000002,2,2,2,有,有,8500000,61603,坡道平面,46.78,0,,RPOPMLQKMHPFFCB18CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,11.88,住,,,1090302,土地1建物1車位1,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,116.31,2,2,1,有,有,8350000,71791,坡道機械,19.87,0,,RPVOMLRKMHPFFCB88CA
西屯區,房地(土地+建物),臺中市西屯區弘孝路241~270號,13.9,住,,,1090225,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830430,104.74,3,2,2,有,有,6340000,60531,,0.0,0,,RPWOMLRKMHPFFCB98CA
西屯區,房地(土地+建物),臺中市西屯區河南路一段91~120號,15.11,住,,,1090306,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810505,107.64,3,2,2,有,有,5630000,52304,,0.0,0,,RPOQMLKLMHPFFCB77CA
