鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楠梓區,房地(土地+建物),高雄市楠梓區大學二十街1~30號,7.73,商,,,1090322,土地1建物1車位0,十八層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070502,99.74000000000001,2,1,1,有,有,4850000,48626,,0.0,0,,RPVPMLNLMHPFFEE56CA
左營區,房地(土地+建物),高雄市左營區城峰路1~30號,9.24,住,,,1090321,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,92.5,2,2,1,有,有,4550000,49189,,0.0,0,,RPSQMLNLMHPFFEE98CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十街330巷1~30號,24.93,住,,,1090221,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080730,154.62,3,2,2,有,有,9460000,58937,升降機械,9.38,900000,,RPUQMLNLMHPFFEE56CA
楠梓區,房地(土地+建物),高雄市楠梓區智昌街121~150號,71.66,住,,,1090325,土地1建物1車位0,全,五層,透天厝,住家用,見使用執照,0910905,196.57,7,2,4,有,無,13500000,68678,,0.0,0,,RPQNMLOLMHPFFEE58CA
楠梓區,土地,後勁段二小段661~690地號,28.39,住,,,1090409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,24657,,0.0,0,私設道路買賣。,RPRQMLLLMHPFFEE68CA
左營區,房地(土地+建物)+車位,高雄市左營區文學路611巷31~60號,16.36,住,,,1090407,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080806,171.55,3,2,2,有,有,11930000,69542,坡道平面,27.06,0,,RPUPMLLLMHPFFEE88CA
左營區,房地(土地+建物)+車位,高雄市左營區文學路611巷31~60號,16.43,住,,,1090409,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080806,172.23000000000002,3,2,2,有,有,12500000,72577,坡道平面,27.06,0,,RPVPMLLLMHPFFEE98CA
楠梓區,土地,援中段一小段151~180地號,180.0,商,,,1090116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29940000,166333,,0.0,0,,RPWOMLMLMHPFFEE09CA
左營區,房地(土地+建物)+車位,高雄市左營區大中二路241~270號,10.5,住,,,1090316,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960112,92.5,2,1,1,有,有,4300000,46486,坡道機械,0.0,0,,RPPRMLKLMHPFFEE48CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區金富街91~120號,13.2,住,,,1090327,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090108,86.07,2,1,1,有,有,3800000,44150,坡道機械,13.16,0,,RPUNMLLLMHPFFEE68CA
